Unique Identifier;Metal;Support;Weight loading [%];Molecular Weight of Active component [g mol⁻¹];Catalyst ID;Active Site Density [μmol gcat-1];Dispersion [%];Method of determining Active Site Density;Pellet Diameter [µm];Weight Hourly Space Velocity [gHCOOH gcat⁻¹ hr⁻¹];Temperature [K];Total Pressure [kPa];Inert Used;Formic Acid, Inlet Mol fraction [%];CO, Inlet Mol fraction [%];CO₂, Inlet Mol fraction [%];H₂, Inlet Mol fraction [%];H₂O, Inlet Mol fraction [%];Inert, Inlet Mol fraction [%];Reactor Configuration;Reactor ID;Rate [μmol gcat⁻¹ min⁻¹];STY [mol product mol active site⁻¹ hr⁻¹ ];STY [mol CO2 mol active site-1 s-1];STY [mol CO mol active site-1 s-1];Selectivity CO₂ [%];Selectivity CO [%];Conversion [%];Data Source;Data Submitted By;Funding Agency;Funding Identifier
FAD-0001;Platinum;Carbon;1;195.08;Cat_M_000010;26.7;52;Transmission Electron Microscopy;NA;7.7;358;101.33;Helium;2.61;0;0;0;0;97.39;"Downflow; Packed Bed";PBR_000003;91.91;206.89;0.06;0.0005;99.18;0.82;3.3;10.1021/acscatal.9b05424;0000-0002-9114-555X;Department of Energy;DE-FG02-05ER15731
FAD-0002;Platinum;Carbon;1;195.08;Cat_M_000010;26.7;52;Transmission Electron Microscopy;NA;7.7;363;101.33;Helium;2.61;0;0;0;0;97.39;"Downflow; Packed Bed";PBR_000003;141.95;319.54;0.09;0.0008;99.14;0.86;5.1;10.1021/acscatal.9b05424;0000-0002-9114-555X;Department of Energy;DE-FG02-05ER15731
FAD-0003;Platinum;Carbon;1;195.08;Cat_M_000010;26.7;52;Transmission Electron Microscopy;NA;7.7;368;101.33;Helium;2.61;0;0;0;0;97.39;"Downflow; Packed Bed";PBR_000003;175.94;396.04;0.11;0.001;99.08;0.92;6.32;10.1021/acscatal.9b05424;0000-0002-9114-555X;Department of Energy;DE-FG02-05ER15731
FAD-0004;Platinum;Carbon;1;195.08;Cat_M_000010;26.7;52;Transmission Electron Microscopy;NA;7.7;373;101.33;Helium;2.61;0;0;0;0;97.39;"Downflow; Packed Bed";PBR_000003;240.55;541.48;0.15;0.0014;99.06;0.94;8.64;10.1021/acscatal.9b05424;0000-0002-9114-555X;Department of Energy;DE-FG02-05ER15731
FAD-0005;Platinum;Carbon;1;195.08;Cat_M_000010;26.7;52;Transmission Electron Microscopy;NA;7.7;378;101.33;Helium;2.61;0;0;0;0;97.39;"Downflow; Packed Bed";PBR_000003;308.44;694.3;0.19;0.0019;99.04;0.96;11.08;10.1021/acscatal.9b05424;0000-0002-9114-555X;Department of Energy;DE-FG02-05ER15731
FAD-0006;Platinum;Carbon;1;195.08;Cat_M_000010;26.7;52;Transmission Electron Microscopy;NA;3.8;373;101.33;Helium;1.3;0;0;0;0;98.7;"Downflow; Packed Bed";PBR_000003;232.56;523.48;0.14;0.0014;99.03;0.97;16.71;10.1021/acscatal.9b05424;0000-0002-9114-555X;Department of Energy;DE-FG02-05ER15731
FAD-0007;Platinum;Carbon;1;195.08;Cat_M_000010;26.7;52;Transmission Electron Microscopy;NA;11.5;373;101.33;Helium;3.91;0;0;0;0;96.09;"Downflow; Packed Bed";PBR_000003;243.94;549.11;0.15;0.0015;99;1;5.84;10.1021/acscatal.9b05424;0000-0002-9114-555X;Department of Energy;DE-FG02-05ER15731
FAD-0008;Platinum;Carbon;1;195.08;Cat_M_000010;26.7;52;Transmission Electron Microscopy;NA;15.4;373;101.33;Helium;5.1;0;0;2.44;0;92.46;"Downflow; Packed Bed";PBR_000003;255.3;574.67;0.16;0.0016;98.98;1.02;4.57;10.1021/acscatal.9b05424;0000-0002-9114-555X;Department of Energy;DE-FG02-05ER15731
FAD-0009;Platinum;Carbon;1;195.08;Cat_M_000010;26.7;52;Transmission Electron Microscopy;NA;7.7;373;101.33;Helium;2.54;0;0;4.88;0;92.57;"Downflow; Packed Bed";PBR_000003;195.66;440.42;0.12;0.0013;98.9;1.1;7.03;10.1021/acscatal.9b05424;0000-0002-9114-555X;Department of Energy;DE-FG02-05ER15731
FAD-0010;Platinum;Carbon;1;195.08;Cat_M_000010;26.7;52;Transmission Electron Microscopy;NA;7.7;373;101.33;Helium;2.48;0;0;9.52;0;87.99;"Downflow; Packed Bed";PBR_000003;185.98;418.64;0.12;0.0013;98.89;1.11;6.68;10.1021/acscatal.9b05424;0000-0002-9114-555X;Department of Energy;DE-FG02-05ER15731
FAD-0011;Platinum;Carbon;1;195.08;Cat_M_000010;26.7;52;Transmission Electron Microscopy;NA;7.7;373;101.33;Helium;2.9;0;0;0;0;97.1;"Downflow; Packed Bed";PBR_000003;171.53;386.1;0.11;0.0013;98.83;1.17;6.16;10.1021/acscatal.9b05424;0000-0002-9114-555X;Department of Energy;DE-FG02-05ER15731
FAD-0012;Platinum;Carbon;1;195.08;Cat_M_000010;26.7;52;Transmission Electron Microscopy;NA;7.7;373;101.33;Helium;2.61;0;2.5;0;0;94.89;"Downflow; Packed Bed";PBR_000003;246.9;555.77;0.15;0.0014;99.11;0.89;8.87;10.1021/acscatal.9b05424;0000-0002-9114-555X;Department of Energy;DE-FG02-05ER15731
FAD-0013;Platinum;Carbon;1;195.08;Cat_M_000010;26.7;52;Transmission Electron Microscopy;NA;7.7;373;101.33;Helium;2.61;0;5.01;0;0;92.38;"Downflow; Packed Bed";PBR_000003;240.46;541.26;0.15;0.0014;99.1;0.9;8.64;10.1021/acscatal.9b05424;0000-0002-9114-555X;Department of Energy;DE-FG02-05ER15731
FAD-0014;Platinum;Carbon;1;195.08;Cat_M_000010;26.7;52;Transmission Electron Microscopy;NA;7.7;373;101.33;Helium;2.61;0;10;0;0;87.39;"Downflow; Packed Bed";PBR_000003;243.77;548.71;0.15;0.0014;99.07;0.93;8.76;10.1021/acscatal.9b05424;0000-0002-9114-555X;Department of Energy;DE-FG02-05ER15731
FAD-0015;Platinum;Carbon;1;195.08;Cat_M_000010;26.7;52;Transmission Electron Microscopy;NA;7.7;373;101.33;Helium;2.61;0.03;0;0;0;97.36;"Downflow; Packed Bed";PBR_000003;35.18;79.2;0.02;-;N/A;N/A;1.26;10.1021/acscatal.9b05424;0000-0002-9114-555X;Department of Energy;DE-FG02-05ER15731
FAD-0016;Platinum;Carbon;1;195.08;Cat_M_000010;26.7;52;Transmission Electron Microscopy;NA;7.7;373;101.33;Helium;2.61;0.04;0;0;0;97.35;"Downflow; Packed Bed";PBR_000003;23.99;54;0.02;-;N/A;N/A;0.86;10.1021/acscatal.9b05424;0000-0002-9114-555X;Department of Energy;DE-FG02-05ER15731
