Unique Identifier,Metal,Support,Weight loading [%],Molecular Weight of Active component [g mol-1],Catalyst ID,Active Site Density [umol gcat-1],Dispersion [%],Method of determining Active Site Density,Pellet Diameter [µm],WHSV [g reactant gcat-1 hr-1],Temperature [K],Total Pressure [kPa],Inlet Inert Used,"Inert, Inlet Mole fraction [%]","CO, Inlet Mole fraction [%]","CH4, Inlet Mole Fraction [%]","Methanol, Inlet Mole fraction [%]","Inlet P, Methanol [kPa]",Inlet Inert Flow Rate [sccm],Total Inlet Flow Rate [mol/hr],Reactor Configuration,Reactor ID,Rate [umol gcat-1 min-1],Confidence Interval for Rate [μmol gcat-1 min-1],STY [mol product mol active site-1 hr-1 ],Selectivity CO [%],Selectivity CH4 [%],Selectivity CO2 [%],Conversion [%],Data Source,Data Submitted By,Funding Agency,Funding Identifier,Reaction,"Formic Acid, Inlet Mole fraction [%]","CO2, Inlet Mole fraction [%]","H2, Inlet Mole fraction [%]","H2O, Inlet Mole fraction [%]",STY [mol product mol active site-1 hr-1],STY [mol CO2 mol active site-1 s-1],STY [mol CO mol active site-1 s-1]
MDH-0001,Platinum,Silica,1.0,195.08,Cat_M_000001,14.7,30.1,CO dynamic chemisorption,106 - 250,13.0,473,102.73,Nitrogen,90.01,0.0,0.0,9.99,10.27,60.0,0.18,"Downflow, Packed Bed",PBR_000001,16.04,2.1,65.66,82.0,3.0,15.0,0.22,Abdelrahman Catalysis Research Laboratory,0009-0004-1407-1640,Department of Energy,DE-SC0023464,Methanol Dehydrogenation,0.0,0.0,0.0,0.0,,,
MDH-0002,Platinum,Silica,3.1,195.08,Cat_M_000002,14.0,8.5,CO static chemisorption,<1000,,473,101.33,Helium,89.4,0.0,0.0,10.6,10.74,60.0,0.18,"Downflow, Packed Bed",PBR_000002,29.37,,131.0,91.0,9.0,0.0,<5,10.1007/s11244-006-0001-1,0000-0002-9114-555X,National Science Foundation,CTS-0327959,Methanol Dehydrogenation,0.0,0.0,0.0,0.0,,,
MDH-0003,Platinum,Silica,3.1,195.08,Cat_M_000002,14.0,8.5,CO static chemisorption,<1000,,423,101.33,Helium,97.5,0.0,0.0,2.5,2.53,60.0,0.16,"Downflow, Packed Bed",PBR_000002,1.86,,8.3,87.0,13.0,0.0,<5,10.1007/s11244-006-0001-1,0000-0002-9114-555X,National Science Foundation,CTS-0327959,Methanol Dehydrogenation,0.0,0.0,0.0,0.0,,,
MDH-0004,Platinum,Silica,3.1,195.08,Cat_M_000002,14.0,8.5,CO static chemisorption,<1000,,423,101.33,Helium,90.1,0.0,0.0,9.9,10.03,60.0,0.18,"Downflow, Packed Bed",PBR_000002,2.35,,10.5,86.0,14.0,0.0,<5,10.1007/s11244-006-0001-1,0000-0002-9114-555X,National Science Foundation,CTS-0327959,Methanol Dehydrogenation,0.0,0.0,0.0,0.0,,,
MDH-0005,Platinum,Silica,3.1,195.08,Cat_M_000002,14.0,8.5,CO static chemisorption,<1000,,448,101.33,Helium,97.2,0.0,0.0,2.8,2.84,60.0,0.17,"Downflow, Packed Bed",PBR_000002,7.44,,33.2,91.0,9.0,0.0,<5,10.1007/s11244-006-0001-1,0000-0002-9114-555X,National Science Foundation,CTS-0327959,Methanol Dehydrogenation,0.0,0.0,0.0,0.0,,,
MDH-0006,Platinum,Silica,3.1,195.08,Cat_M_000002,14.0,8.5,CO static chemisorption,<1000,,448,101.33,Helium,90.0,0.0,0.0,10.0,10.13,60.0,0.18,"Downflow, Packed Bed",PBR_000002,9.62,,42.9,90.0,10.0,0.0,<5,10.1007/s11244-006-0001-1,0000-0002-9114-555X,National Science Foundation,CTS-0327959,Methanol Dehydrogenation,0.0,0.0,0.0,0.0,,,
MDH-0007,Platinum,Silica,3.1,195.08,Cat_M_000002,14.0,8.5,CO static chemisorption,<1000,,473,101.33,Helium,97.2,0.0,0.0,2.8,2.84,60.0,0.17,"Downflow, Packed Bed",PBR_000002,23.86,,106.4,92.0,8.0,0.0,<5,10.1007/s11244-006-0001-1,0000-0002-9114-555X,National Science Foundation,CTS-0327959,Methanol Dehydrogenation,0.0,0.0,0.0,0.0,,,
MDH-0008,Platinum,Silica,3.1,195.08,Cat_M_000002,14.0,8.5,CO static chemisorption,<1000,,498,101.33,Helium,97.6,0.0,0.0,2.4,2.43,60.0,0.16,"Downflow, Packed Bed",PBR_000002,44.69,,199.3,93.0,7.0,0.0,<5,10.1007/s11244-006-0001-1,0000-0002-9114-555X,National Science Foundation,CTS-0327959,Methanol Dehydrogenation,0.0,0.0,0.0,0.0,,,
MDH-0009,Platinum,Silica,3.1,195.08,Cat_M_000002,14.0,8.5,CO static chemisorption,<1000,,498,101.33,Helium,89.8,0.0,0.0,10.2,10.34,60.0,0.18,"Downflow, Packed Bed",PBR_000002,67.2,,299.7,93.0,7.0,0.0,<5,10.1007/s11244-006-0001-1,0000-0002-9114-555X,National Science Foundation,CTS-0327959,Methanol Dehydrogenation,0.0,0.0,0.0,0.0,,,
MDH-0010,Iridium,Carbon,1.0,192.22,Cat_M_000003,7.9,15.1,CO dynamic chemisorption,106 - 250,17.0,473,102.73,Nitrogen,90.01,0.0,0.0,9.99,10.27,60.0,0.18,"Downflow, Packed Bed",PBR_000001,12.1,3.46,92.39,78.0,0.0,22.0,0.19,Abdelrahman Catalysis Research Laboratory,0009-0004-1407-1640,Department of Energy,DE-SC0023464,Methanol Dehydrogenation,0.0,0.0,0.0,0.0,,,
